白条猪（肥）,14.50,14.50,14.50,普通,斤,2021-03-17
前臀尖（瘦）,15.00,15.50,16.00,普通,斤,2021-03-17
前臀尖（肥）,14.00,14.50,15.00,普通,斤,2021-03-17
后臀尖（瘦）,15.00,15.50,16.00,普通,斤,2021-03-17
后臀尖（肥）,14.00,14.50,15.00,普通,斤,2021-03-17
五花肉（瘦）,18.00,18.50,19.00,普通,斤,2021-03-17
五花肉（肥）,17.00,17.50,18.00,普通,斤,2021-03-17
纯通脊,18.00,19.00,20.00,普通,斤,2021-03-17
通脊,14.00,15.00,16.00,普通,斤,2021-03-17
纯瘦肉,15.00,15.50,16.00,普通,斤,2021-03-17
前肘,15.00,15.50,16.00,普通,斤,2021-03-17
后肘,12.00,13.00,14.00,普通,斤,2021-03-17
猪尾巴,45.00,47.50,50.00,普通,斤,2021-03-17
大白菜,0.45,0.70,0.95,储存新.黄心,斤,2021-03-18
娃娃菜,0.60,0.70,0.80,大小,斤,2021-03-18
芹菜,0.80,0.90,1.00,鲁,斤,2021-03-18
菠菜,0.50,0.75,1.00,长杆冀,斤,2021-03-18
番茄,0.70,1.05,1.40,川鲁蒙,斤,2021-03-18
番茄（精品）,1.50,1.75,2.00,普通,斤,2021-03-18
黄瓜,2.00,2.25,2.50,蒙辽袋鲁,斤,2021-03-18
黄瓜(鲜干花),2.80,3.10,3.40,冀,斤,2021-03-18
小黄瓜,4.00,4.75,5.50,旱荷兰,斤,2021-03-18
茄子,1.20,1.60,2.00,鲁冀,斤,2021-03-18
架豆,2.70,4.25,5.80,冀,斤,2021-03-18
尖椒,1.50,1.85,2.20,冀晋鲁新,斤,2021-03-18
柿子椒,1.40,1.70,2.00,鲁新,斤,2021-03-18
土豆,0.60,0.85,1.10,冀,斤,2021-03-18
新土豆,0.80,1.00,1.20,陕冀云新,斤,2021-03-18
黄葱头,0.80,0.90,1.00,蒙甘,斤,2021-03-18
红葱头,0.90,1.05,1.20,普通,斤,2021-03-18
葱,4.40,4.50,4.60,冀苏鲁闽,斤,2021-03-18
吊冬瓜,2.00,2.15,2.30,桂,斤,2021-03-18
地冬瓜,1.40,1.55,1.70,苏、新,斤,2021-03-18
大蒜,2.50,2.75,3.00,普通,斤,2021-03-16
新蒜,2.40,2.70,3.00,普通,斤,2021-03-16
西葫芦,1.00,1.20,1.40,滇鲁,斤,2021-03-16
菜花,1.70,1.85,2.00,普通,斤,2021-03-16
散菜花,2.00,2.50,3.00,冀苏,斤,2021-03-16
绿菜花,1.80,2.10,2.40, 冀,斤,2021-03-16
胡萝卜,0.70,0.95,1.20,冀鲁,斤,2021-03-16
胡萝卜（洗）,1.00,1.15,1.30,冀蒙箱,斤,2021-03-16
心里美,1.00,1.10,1.20,冀,斤,2021-03-16
白萝卜,0.40,0.50,0.60,冀,斤,2021-03-16
卞萝卜,0.40,0.50,0.60,冀,斤,2021-03-16
青萝卜,1.80,2.20,2.60,冀津,斤,2021-03-16
平菇,2.00,2.30,2.60,小叶,斤,2021-03-16
莴笋,1.50,1.85,2.20,闽浙鲁,斤,2021-03-16
香菇,2.50,3.00,3.50,普通,斤,2021-03-16
香菜,3.00,4.50,6.00,鲁冀,斤,2021-03-16
山药,1.80,2.10,2.40,脆麻新,斤,2021-03-16
铁棍山药,5.00,5.90,6.80,普通,斤,2021-03-16
藕,2.00,3.00,4.00,津,斤,2021-03-16
小毛冬瓜,2.80,3.30,3.80,长圆,斤,2021-03-16
左合草莓,8.00,9.00,10.00,其他类,斤,2021-03-16
火龙果,3.00,4.50,6.00,其他类,斤,2021-03-16
木瓜,3.00,3.50,4.00,其他类,斤,2021-03-16
柿饼,6.00,7.00,8.00,其他类,斤,2021-03-16
甘蔗,2.20,2.30,2.40,其他类,斤,2021-03-16
柠檬,3.00,3.25,3.50,其他类,斤,2021-03-16
黑枣,5.00,6.00,7.00,其他类,斤,2021-03-16
山楂,3.00,4.00,5.00,其他类,斤,2021-03-16
姑娘果（灯笼果）,14.00,15.50,17.00,其他类,斤,2021-03-16
鸭梨,2.40,2.60,2.80,梨类,斤,2021-03-16
雪花梨,2.40,2.60,2.80,梨类,斤,2021-03-16
皇冠梨（标箱）,4.00,4.40,4.80,梨类,斤,2021-03-16
南果梨,1.50,3.00,4.50,梨类,斤,2021-03-16
丰水梨,3.50,3.75,4.00,梨类,斤,2021-03-16
酥梨,2.20,2.40,2.60,梨类,斤,2021-03-16
库尔勒香梨,2.50,3.25,4.00,梨类,斤,2021-03-16
红香酥梨系列,1.70,1.85,2.00,梨类,斤,2021-03-16
蜜梨,2.00,2.25,2.50,梨类,斤,2021-03-16
京白梨,2.00,2.25,2.50,梨类,斤,2021-03-16
沙糖桔(中果）,2.60,3.30,4.00,柑橘类,斤,2021-03-16
团生菜,2.50,2.75,3.00,滇|冀,斤,2021-03-18
圆白菜（陆地）,0.40,0.45,0.50,鄂冀,斤,2021-03-18
圆白菜（大棚）,1.00,1.15,1.30,普通,斤,2021-03-18
扁圆白菜,0.30,0.40,0.50,普通,斤,2021-03-18
油菜,1.00,1.25,1.50,鲁京,斤,2021-03-18
姜,3.00,4.00,5.00,姜头新,斤,2021-03-18
大蒜,2.50,2.75,3.00,普通,斤,2021-03-18
新蒜,2.00,2.25,2.50,普通,斤,2021-03-18
西葫芦,1.00,1.20,1.40,滇鲁,斤,2021-03-18
菜花,1.60,1.70,1.80,普通,斤,2021-03-18
散菜花,2.00,2.50,3.00,豫苏,斤,2021-03-18
绿菜花,1.80,2.00,2.20, 冀,斤,2021-03-18
胡萝卜,0.70,0.95,1.20,冀鲁,斤,2021-03-18
胡萝卜（洗）,1.00,1.25,1.50,冀蒙箱,斤,2021-03-18
心里美,1.00,1.10,1.20,冀,斤,2021-03-18
白萝卜,0.40,0.50,0.60,冀,斤,2021-03-18
卞萝卜,0.40,0.45,0.50,冀,斤,2021-03-18
青萝卜,1.30,1.90,2.50,冀津,斤,2021-03-18
平菇,2.00,2.30,2.60,小叶,斤,2021-03-18
莴笋,1.30,1.65,2.00,闽浙鲁,斤,2021-03-18
韭菜,1.50,1.65,1.80,二茬粤,斤,2021-03-16
小白菜,1.40,1.50,1.60,普通,斤,2021-03-16
蒜苗,3.00,4.50,6.00,云鲁存,斤,2021-03-16
蒜黄,2.00,2.90,3.80,2茬冀,斤,2021-03-16
豆王,2.80,4.40,6.00,普通,斤,2021-03-16
扁豆,2.50,3.75,5.00,冀鲁聊城,斤,2021-03-16
豇豆,5.00,6.00,7.00,桂滇闽,斤,2021-03-16
白不老,4.50,5.25,6.00,滇,斤,2021-03-16
油豆,5.00,6.50,8.00,滇,斤,2021-03-16
毛豆,6.00,6.15,6.30,普通,斤,2021-03-16
红薯,1.40,1.60,1.80,冀新,斤,2021-03-16
红薯,2.30,2.55,2.80,西瓜红,斤,2021-03-16
绿豆芽,0.90,0.95,1.00,普通,斤,2021-03-16
黄豆芽,0.80,0.85,0.90,普通,斤,2021-03-16
蒜米,3.00,3.40,3.80,普通,斤,2021-03-16
苦瓜,3.00,3.50,4.00,鲁,斤,2021-03-16
丝瓜,3.00,3.50,4.00,鲁,斤,2021-03-16
南北瓜,2.40,2.70,3.00,苏冀,斤,2021-03-16
白玉菇,2.00,2.90,3.80,普通,斤,2021-03-16
口蘑,6.50,7.00,7.50,普通,斤,2021-03-16
牛上脑,35.00,35.00,35.00,普通,斤,2021-03-17
整羊,32.00,32.50,33.00,普通,斤,2021-03-17
去骨羊前腿,42.00,42.00,42.00,普通,斤,2021-03-17
去骨羊后腿,42.00,42.00,42.00,普通,斤,2021-03-17
羊腰窝,40.00,41.00,42.00,普通,斤,2021-03-17
羊肉片,40.00,41.00,42.00,普通,斤,2021-03-17
羊腰子（挂油）,14.00,14.50,15.00,普通,个,2021-03-17
羊蝎子,20.00,21.00,22.00,普通,斤,2021-03-17
羊蝎子（精品）,31.00,32.00,33.00,普通,斤,2021-03-17
羊排骨,32.00,32.00,32.00,普通,斤,2021-03-17
羊尾巴油,8.00,8.00,8.00,普通,斤,2021-03-17
羊小腿（羊棒）,24.00,24.50,25.00,普通,斤,2021-03-17
羊骨头,11.00,11.50,12.00,普通,斤,2021-03-17
羊腩,32.00,32.50,33.00,普通,斤,2021-03-17
羊里脊,42.00,42.00,42.00,普通,斤,2021-03-17
淘汰鸡（干净膛）,9.50,9.50,9.50,普通,斤,2021-03-17
淘汰鸡（净膛）,8.50,8.50,8.50,普通,斤,2021-03-17
仔鸡（净膛）,7.50,7.50,7.50,普通,斤,2021-03-17
肉鸡,6.50,6.50,6.50,普通,斤,2021-03-17
鸡胸,7.50,7.50,7.50,普通,斤,2021-03-17
蒜米,3.00,3.40,3.80,普通,斤,2021-03-18
苦瓜,3.00,3.25,3.50,鲁,斤,2021-03-18
丝瓜,3.00,3.50,4.00,鲁,斤,2021-03-18
南北瓜,2.00,2.50,3.00,苏冀,斤,2021-03-18
白玉菇,2.00,2.90,3.80,普通,斤,2021-03-18
口蘑,6.50,7.00,7.50,普通,斤,2021-03-18
杏鲍菇,3.00,3.25,3.50,普通,斤,2021-03-18
金针菇,1.80,2.15,2.50,普通,斤,2021-03-18
茴香,2.00,2.25,2.50,冀,斤,2021-03-18
线椒,4.50,5.00,5.50,鲁新,斤,2021-03-18
小米椒,5.50,6.00,6.50,滇,斤,2021-03-18
杭椒,3.00,4.00,5.00,普通,斤,2021-03-18
散叶生菜,3.50,3.75,4.00,京,斤,2021-03-18
苦菊,2.60,2.80,3.00,辽,斤,2021-03-18
樱西,2.50,2.75,3.00,小红冀,斤,2021-03-18
芋头,1.80,1.90,2.00,鲁,斤,2021-03-18
长茄,1.40,1.80,2.20,冀京,斤,2021-03-18
广茄,1.20,1.95,2.70,冀京,斤,2021-03-18
紫甘蓝,1.80,2.00,2.20,冀,斤,2021-03-18
金丝南瓜,2.00,2.15,2.30,蒙,斤,2021-03-18
前肘,15.00,15.50,16.00,普通,斤,2021-03-18
后肘,12.00,13.00,14.00,普通,斤,2021-03-18
猪尾巴,45.00,47.50,50.00,普通,斤,2021-03-18
猪蹄,19.00,19.50,20.00,普通,斤,2021-03-18
纯排骨,25.00,26.00,27.00,普通,斤,2021-03-18
纯腔骨,11.00,12.50,14.00,普通,斤,2021-03-18
腔排骨,17.00,18.00,19.00,普通,斤,2021-03-18
棒骨,13.00,13.50,14.00,普通,斤,2021-03-18
猪板油,14.00,14.50,15.00,普通,斤,2021-03-18
肥膘肉,10.00,11.00,12.00,普通,斤,2021-03-18
猪皮,8.00,9.00,10.00,普通,斤,2021-03-18
整牛,34.00,34.00,34.00,普通,斤,2021-03-18
牛前腱,37.00,37.00,37.00,普通,斤,2021-03-18
牛后腱,37.00,37.00,37.00,普通,斤,2021-03-18
牛前腿,35.00,35.50,36.00,普通,斤,2021-03-18
牛后腿,35.00,35.50,36.00,普通,斤,2021-03-18
牛柳（里脊）,36.00,37.00,38.00,普通,斤,2021-03-18
精牛柳,40.00,41.00,42.00,普通,斤,2021-03-18
牛腩,35.00,35.00,35.00,普通,斤,2021-03-18
牛林,35.00,35.00,35.00,普通,斤,2021-03-18
蒜黄,2.00,2.75,3.50,2茬冀,斤,2021-03-15
